"year","count"
1950,201
1951,260
1952,240
1953,421
1954,550
1955,591
1956,504
1957,857
1958,564
1959,604
1960,616
1961,697
1962,657
1963,463
1964,704
1965,897
1966,585
1967,927
1968,657
1969,608
1970,653
1971,889
1972,741
1973,1102
1974,945
1975,919
1976,680
1977,680
1978,595
1979,855
1980,866
1981,782
1982,1047
1983,931
1984,907
1985,684
1986,765
1987,656
1988,702
1989,856
1990,1133
1991,1132
1992,1297
1993,1173
1994,1082
1995,1235
1996,1173
1997,1148
1998,1424
1999,1339
2000,1075
2001,1215
2002,934
2003,1374
2004,1817
2005,1265
2006,1103
2007,1092
2008,1692
2009,1159
2010,1282
2011,1703
2012,939
2013,903
2014,928
2015,1178
2016,976
2017,1418
2018,1123
2019,1522
2020,1050
